,Time (s),Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Absolute acceleration,gyroscope x,gyroscope y,gyroscope z,Absolute gyroscope,Speed (m/s)
0,0.046019116,4.783669472,3.407645226,4.231547356,7.238890289,0.2512690723,-0.06298371404,-0.0436758101,0.2626988224,5.56
1,0.080878387,8.202460289,-7.64081955,-18.80532074,21.89297984,0.4440817833,-0.0853542462,-0.0745684579,0.4583169564,5.563918917635135
2,0.115787189,-2.255587816,3.385031223,4.235310078,5.872304848,-0.5633913279,0.1074584723,-0.4387554526,0.7221242682,5.56783783527027
3,0.150722919,-2.906134844,3.708713531,2.56290102,5.363640315,-0.1267663687,-0.1386174262,-0.2524674833,0.3146813201,5.571756752905405
4,0.185620158,4.54272604,0.02888917923,12.02394772,12.85350198,-0.01704421826,0.1649827063,0.06604634225,0.1785270794,5.57567567054054
5,0.220502085,6.160476685,-9.871706009,-15.9987812,19.78289798,0.3833617568,-0.02996053919,-0.06072002649,0.3892952506,5.579594588175675
6,0.255384169,-4.167523384,1.745718956,13.10782433,13.86473384,-0.6496776342,0.05099949613,-0.4749744236,0.8064010666,5.58351350581081
7,0.290265991,-8.811578751,3.28082037,9.975253105,13.70815002,0.2193111479,-0.03315633163,-0.1928127259,0.2938936359,5.587432423445946
8,0.325135314,3.284456253,1.420663357,-4.778252602,5.969726558,0.4472775757,-0.02676474862,0.1853558719,0.4849024446,5.591351341081081
9,0.360044481,5.797506332,-4.205247402,-13.38693428,15.18239753,0.0350205414,-0.03848264739,-0.3249054253,0.3290454192,5.595270258716216
10,0.394915887,-3.479455233,3.201799393,2.467923164,5.333739102,-0.2897517085,-0.1258342713,-0.5932186842,0.6720853545,5.599189176351351
11,0.429827398,-0.9091671705,4.928583622,8.241594315,9.645796925,0.1287637353,0.1862879843,-0.2460758984,0.3344198863,5.603108093986486
12,0.464687814,7.28531599,-7.138617516,-12.23171234,15.92640813,0.05526055023,-0.1929458827,-0.3025348783,0.3630553603,5.607027011621621
13,0.499549846,-8.602026939,2.043926239,11.0527544,14.15400586,-0.05539371073,-0.20892483,-0.6858966351,0.7191468847,5.610945929256756
14,0.534451512,-5.137450218,8.727046967,7.462611675,12.57955947,0.155395329,-0.2025332451,-0.1523326933,0.2972754162,5.614864846891892
15,0.569469637,4.812513351,-9.062781334,-18.07921791,20.7882758,0.541020751,-0.1844237745,-0.1661811322,0.5952577176,5.618783764527027
16,0.604741252,-2.166758299,3.610733032,-0.9499378204,4.31678311,-0.2769685388,-0.2834932804,-0.3089264631,0.5025092747,5.622702682162162
17,0.639321252,-3.637520313,4.245313168,7.638973236,9.466158145,-0.1310274303,-0.06404897571,-0.1619200706,0.2179187189,5.626621599797297
18,0.674041616,4.355490685,-9.092240334,-9.254196167,13.68500201,0.134090066,-0.3016027808,-0.1459411234,0.3608922203,5.630540517432432
19,0.70892745,-7.564143658,0.3739151955,6.243903637,9.815417183,-0.2279664129,-0.2078595608,-0.2343579978,0.3874247715,5.634459435067567
20,0.743789585,-1.725705385,5.481521606,4.185078621,7.10915053,0.1532648057,-0.1705753356,0.2257027328,0.3217573144,5.638378352702702
21,0.778677398,5.7035923,0.5884566307,-8.519583702,10.26939885,-0.1438105851,-0.1673795432,0.2448774725,0.3296397616,5.642297270337838
22,0.81359396,-3.191738367,0.1772422791,2.498373985,4.057151858,-0.2684464455,-0.1311605871,0.06924213469,0.3066937673,5.646216187972972
23,0.848469637,5.145735741,-1.821077347,-2.255997658,5.906305482,0.1330247968,-0.1790974438,0.5026713014,0.5499544783,5.650135105608108
24,0.883335366,-4.20462513,0.9881691933,2.892006874,5.197985629,-0.2524674833,-0.3472759426,-0.1107874215,0.4434120692,5.654054023243243
25,0.918230679,-3.376049519,5.813275337,8.192485809,10.59758011,-0.02450106293,0.09680583328,0.4281028211,0.4395949236,5.657972940878378
26,0.953121669,5.654912472,-5.104205608,-16.94303513,18.57679707,0.484561801,-0.3547327816,0.2246374637,0.6411688353,5.661891858513513
27,0.988026825,-1.393916845,4.206043243,0.04446601868,4.431227952,-0.2567285299,-0.2611227632,-0.2087916732,0.4215312542,5.665810776148648
