,Time (s),Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Absolute acceleration,gyroscope x,gyroscope y,gyroscope z,Absolute gyroscope,Speed (m/s)
0,0.037835677,5.074422359,-5.542239666,-6.79067564,10.12815178,-0.2737727463,-1.159139991,-0.6414218545,1.352767175,11.111
1,0.072753854,-7.493227482,4.635106087,9.069502831,12.64470435,0.4249070287,0.7130608559,0.4896217883,0.963707042,11.029458330152778
2,0.107635261,13.22215462,-12.88771439,-17.24913216,25.26759021,-0.07363634557,-0.4199801981,0.01890842989,0.4268058188,10.947916660305555
3,0.142537553,-6.516304016,4.64872551,-4.268092632,9.071355004,-0.8147935271,-0.1857553422,-0.111053735,0.8430459484,10.866374990458334
4,0.17745224,3.480436802,-0.1601448059,9.607843399,10.22006563,0.4355596602,0.7215829492,1.048752069,1.345464631,10.784833320611112
5,0.212344323,6.757695675,-8.173876762,-4.855555058,11.6642671,0.1063932031,-0.8876309395,-0.1035968885,0.8999669515,10.703291650763889
6,0.247220521,-8.636236191,9.772276878,0.2234706879,13.04346235,-0.1917474568,0.2657832801,0.4352933466,0.544874423,10.621749980916666
7,0.282156876,9.851835251,-9.753295898,-7.561982632,15.79142236,0.241681695,0.1029310971,0.5450155139,0.6050179856,10.540208311069446
8,0.317028178,-5.754127502,0.01112318039,8.140914917,9.969182651,0.05952160433,-0.9110667109,-0.09614004195,0.9180567961,10.458666641222223
9,0.351905417,-2.18723774,11.7704916,4.480430603,12.78290811,0.134090066,1.216797352,0.7099981904,1.415158426,10.377124971375
10,0.386823126,11.11744308,-12.23495865,-9.371833801,19.00323716,0.04141212255,0.1018658355,0.2914827764,0.3115346229,10.295583301527778
11,0.421726094,-8.51647377,7.604746819,14.21945953,18.2361051,-0.1470063776,-0.3348922431,-0.2623211741,0.4500845343,10.214041631680557
12,0.456632605,1.424537897,6.24650526,0.5193967819,6.42790084,-0.005459476262,1.558747053,0.6535392404,1.690217655,10.132499961833334
13,0.491506094,11.21988392,-10.19534492,-8.890262604,17.57463008,-0.3046653867,0.08269108832,-0.09720530361,0.3303145243,10.050958291986111
14,0.526422605,-7.464540958,3.064403534,22.72710419,24.11703144,0.1585911214,-0.7395592928,-0.5018723607,0.9077306637,9.969416622138889
15,0.561315938,-0.2553872466,6.10249424,-2.6649189,6.663891606,-0.2332927436,1.356346965,0.2339585274,1.396008304,9.887874952291668
16,0.596214896,11.28789711,-5.144710064,-6.685988426,14.09209367,0.5344960093,0.7056040168,0.2797648609,0.9283487437,9.806333282444445
17,0.631105573,1.62234664,-5.713704586,0.7130813599,5.982216457,0.1245026886,-0.947152555,-0.8491482735,1.278143839,9.724791612597222
18,0.666004792,-6.231622696,5.724286556,-6.472458839,10.65332349,-0.3973433375,0.2338253707,-0.4093275666,0.6165266326,9.64324994275
19,0.700890573,6.105540276,1.340087414,-3.826842308,7.329268612,0.5526055098,1.596031308,0.2030658871,1.701153885,9.561708272902779
20,0.735803073,7.308020592,-14.52775288,-2.848618507,16.50991811,0.234224841,0.3296990991,-0.08548741043,0.4133652978,9.480166603055556
21,0.770698594,-1.804461598,7.401780128,-5.424166679,9.352219784,-0.1842906028,-0.9249151349,-0.9812409878,1.360979393,9.398624933208334
22,0.805586667,-6.611989975,0.5464353561,7.94551897,10.35124508,0.2757701278,0.07097318769,-0.3294327855,0.4354449643,9.317083263361111
23,0.840511719,6.535861015,3.502044201,-7.996926308,10.90562347,0.1085237339,1.390435338,0.05619265884,1.395795632,9.23554159351389
