,Time (s),Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Absolute acceleration,gyroscope x,gyroscope y,gyroscope z,Absolute gyroscope,Speed (m/s)
0,0.045742458,11.70128059,-10.79721451,5.30039978,16.78076418,-0.05685844645,0.03874896467,0.1932121962,0.2050983129,11.1111
1,0.080607979,-1.908305883,-4.401975632,-1.738190651,5.102972423,0.3062632978,0.07177213579,-0.05392897129,0.3191500916,10.970501922153847
2,0.115484698,-0.6234247684,0.8750286102,-4.157172203,4.293764576,-0.391351223,0.01438105945,-0.1166463718,0.408618368,10.829903844307692
3,0.150405323,-9.946479797,7.960600853,-3.779683113,13.28870312,-0.8450203538,-0.1549958587,0.7065361142,1.112329266,10.689305766461539
4,0.185230219,-5.798214436,10.11014557,6.700389862,13.44356941,-0.4467449486,-0.2423474789,0.5211802125,0.7279712656,10.548707688615385
5,0.220188969,5.135840416,-0.5194450617,5.480998993,7.529145364,-0.01331579592,-0.3147853911,-0.009187898599,0.3152008413,10.40810961076923
6,0.255045583,11.54701614,-1.565853119,13.93842793,18.16769801,-0.4691154659,0.5309007764,-0.05499423668,0.7105978615,10.267511532923077
7,0.289908969,12.19983196,-3.664603472,6.414601326,14.26226941,-0.04740423337,0.406264931,-0.1901495606,0.4510600967,10.126913455076924
8,0.324846573,1.301637411,0.1110525131,14.26531887,14.32501013,0.1177116334,0.1814942956,0.03342264518,0.2188910258,9.98631537723077
9,0.359712562,8.548974991,-5.720347404,18.43174362,21.10773604,-0.08242477477,0.0005326318205,-0.08255793154,0.1166616443,9.845717299384615
10,0.394603031,0.1495127082,4.571686268,9.575248718,10.61169437,-0.6777740121,0.184690088,0.1537974328,0.719125643,9.705119221538462
11,0.429478864,-0.2791568041,13.50737762,8.313194275,15.86305071,-0.5681849718,0.1186437383,0.0984037295,0.5887221695,9.564521143692307
12,0.464341625,-3.877052069,8.412765503,12.91605186,15.89435598,-0.2592585385,-0.0005326318205,0.2709764242,0.3750246605,9.423923065846154
13,0.49924876,0.1819847822,0.001323342323,26.56477737,26.56540075,-0.1953427196,-0.478836,0.03874896467,0.5185982792,9.283324988
14,0.534164906,4.964944363,-4.374527931,17.26025009,18.48522113,-0.1090563685,-0.5809681416,-0.3552654386,0.6896599197,9.142726910153847
15,0.56905251,7.117329597,2.239435911,9.556954384,12.12463735,-0.5309007764,-0.1539305896,-0.1027979404,0.5622434324,9.002128832307692
16,0.603931521,9.790351868,-7.174189091,7.938572884,14.50313477,-0.4339617789,0.1953427196,0.03555317223,0.4772270232,8.861530754461539
17,0.63893725,7.260359287,-4.685163975,-6.213581085,10.64293984,-0.3988080621,0.2187785208,-0.06564687192,0.4595883194,8.720932676615385
18,0.6739085,-6.036618233,6.297445774,-7.094930649,11.24440411,-0.6372939944,0.1932121962,0.01318263728,0.6660693433,8.58033459876923
