,Time (s),Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Absolute acceleration,gyroscope x,gyroscope y,gyroscope z,Absolute gyroscope,Speed (m/s)
0,0.04968908,8.942257881,-7.706625938,-0.08918952942,11.80525367,0.3190464675,0.2443448454,-0.1070589945,0.4158806081,0.0
1,0.08452783,9.652257919,-6.841450214,-1.923882961,11.98636098,0.3041327596,0.3146522343,-0.1219726875,0.4542907665,0.046000000414285716
2,0.119350226,7.85789299,-3.60430479,-1.810633183,8.832660289,0.1731053442,0.3647196293,-0.06351634115,0.4086810416,0.09200000082857143
3,0.154297205,1.20227921,3.621995926,-6.944127083,7.923713191,0.1944106072,0.4201133549,-0.1262337416,0.4798183747,0.13800000124285716
4,0.189153768,-1.778301716,6.172665596,-5.322009563,8.341938824,-0.2688459158,0.4360923171,-0.02303632535,0.5128209315,0.18400000165714286
5,0.224086788,-9.850639343,12.16516495,-15.47289467,22.0099251,-0.1527321786,0.41372177,0.177233234,0.475294057,0.23000000207142857
6,0.258963924,-9.45987606,11.92511749,-2.766976833,15.4710647,-0.3572627902,0.3583280444,0.06431528926,0.5100707256,0.2760000024857143
7,0.29406559,-9.132344246,18.78566742,-10.94815445,23.58311043,-0.1229047924,0.5021386743,0.6426202655,0.8247482293,0.3220000029
8,0.328798299,-6.561879158,12.32238388,-6.817256927,15.53622845,0.03462106735,0.5616602302,0.2368880063,0.6105544693,0.36800000331428573
9,0.36364934,-6.644953728,2.509611607,2.627347946,7.573408591,0.0878842473,0.2390185297,-0.1326253265,0.2871288486,0.41400000372857143
10,0.398530538,10.35479546,-9.593225479,1.115872383,14.15969404,-0.1942774504,0.04514054582,0.08029424399,0.2150082841,0.46000000414285713
11,0.433418663,-1.911215305,3.364988089,-1.449712753,4.132499951,-0.2731069624,0.1303616315,0.3082606792,0.4319794142,0.5060000045571429
12,0.46828632,-4.728560448,6.145141125,1.947822571,7.994751786,0.5607281327,0.1101216301,0.08242477477,0.5773531465,0.5520000049714286
13,0.503494549,11.34442902,-9.029340744,13.20359516,19.61020115,0.1954758763,0.08242477477,0.1910816729,0.285511589,0.5980000053857143
14,0.538268195,6.874101639,-10.55099392,11.90062618,17.32632822,0.1890842915,-0.07829687744,-0.6725808382,0.7030279185,0.6440000058
15,0.572964393,-9.530309677,1.324866533,-9.610242844,13.59922209,0.3009369671,-0.2604569495,-0.8142609,0.9063231731,0.6900000062142857
16,0.607885226,-2.19291091,6.120247841,-39.68798065,40.21693798,0.498942852,0.619184494,0.1154479459,0.8035307309,0.7360000066285715
17,0.642768872,-1.277185202,4.28083086,-7.207881927,8.479992734,-0.3572627902,0.477637589,-0.02516685426,0.5969989432,0.7820000070428572
18,0.677679288,-7.361915112,8.398007393,-7.682961464,13.55552357,-0.05792371184,0.2592585385,-0.235955894,0.3553101885,0.8280000074571429
19,0.71257184,-9.938580513,4.158455372,1.482853889,10.87506273,0.09747162461,-0.02503369562,0.2081258893,0.2311791282,0.8740000078714286
20,0.747458924,6.760761738,-7.63672924,9.530806541,13.95936267,-0.01651158556,-0.4703139067,0.3178480268,0.5678865832,0.9200000082857143
21,0.782365643,-2.78673625,-4.446550846,-1.466087341,5.448589308,0.2466085255,-0.5554018021,-0.4042675495,0.7298761389,0.9660000087
22,0.817258559,14.53537273,-2.051711082,-11.79037666,18.82815872,0.6874945164,0.08455529809,-0.4554001987,0.8289678217,1.0120000091142858
23,0.852146893,10.06616688,-2.906345844,-4.074942589,11.24187346,0.06551371515,0.498942852,0.3711112142,0.6252675825,1.0580000095285715
24,0.887008715,-5.755815029,1.665493131,2.044370651,6.331091958,-0.3700459599,0.3444796205,0.1452753246,0.5260277001,1.1040000099428573
25,0.921910434,-11.62623978,13.09445858,-13.65182877,22.20375476,-0.1186437383,0.1047953144,-0.272174865,0.3148611626,1.1500000103571428
26,0.956801684,-10.64036083,5.397262573,-5.404684544,13.09802798,0.2018674612,-0.09534109384,0.1292963773,0.2579882735,1.1960000107714286
27,0.991679809,9.168904305,-3.863746405,21.40664291,23.60596754,-0.04207791388,0.03235738352,0.4934833944,0.4963299423,1.2420000111857143
28,1.026581059,2.997036457,-4.964457989,0.4545402527,5.816758332,-0.1857553422,-0.4095938802,-0.1155811027,0.4643610504,1.2880000116
29,1.061480122,-6.897798061,5.185481071,-4.591814995,9.775152018,0.536227107,-0.07616634667,-0.286023289,0.6124950159,1.3340000120142859
30,1.096366684,7.042972088,1.005799413,-8.325138092,10.95093661,-0.00159789552,0.3327617347,-0.1070589945,0.3495633757,1.3800000124285714
31,1.131254132,11.78649616,-0.8461336493,1.54672718,11.91762556,-0.1665806025,0.7012097836,0.241149053,0.7599981075,1.4260000128428572
32,1.166184705,-8.35389328,5.543300629,1.413200378,10.12486297,-0.119709,0.2528669536,0.05366265774,0.2848712371,1.472000013257143
33,1.201075643,-6.376377106,9.603273392,-5.058176517,12.58833565,-0.1378184855,-0.05699160323,-0.4191812575,0.4449212339,1.5180000136714287
34,1.235950174,-8.19913578,2.711677551,11.03684044,14.01395267,-0.04527370632,-0.1091895252,0.3008038104,0.3231949771,1.5640000140857144
35,1.270827309,8.097520828,-3.106779575,13.65635586,16.17770003,-0.2784332931,-0.09534109384,0.2155827284,0.364816304,1.6100000145
