,Time (s),Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Absolute acceleration,gyroscope x,gyroscope y,gyroscope z,Absolute gyroscope,Speed (m/s)
0,0.037648962,7.398254871,-7.792033195,8.189126968,13.50969122,-0.1282311082,0.00159789552,-0.06458161026,0.1435846606,5.56
1,0.072560681,9.269416809,-1.861279964,-6.251119137,11.33414935,0.05912213027,0.04301001877,0.2059953511,0.2185849324,5.596981131716981
2,0.107368024,-1.338682294,4.290206432,-7.282466888,8.557585261,-0.0005326318205,-0.1336905807,0.3157175183,0.3428571225,5.633962263433962
3,0.14232667,-4.487281322,6.647236824,-3.585205078,8.784938618,0.1603221744,-0.2561959028,-0.2167811543,0.3719322641,5.670943395150943
4,0.177502295,-5.147801876,5.355710506,-2.305299282,7.778039854,0.1518000662,0.02916159295,-0.2455432713,0.2901467847,5.707924526867924
5,0.212130837,-1.859203935,8.252538681,-3.102328777,9.01029843,-0.1719069183,0.07283740491,0.08029424399,0.2032349422,5.744905658584905
6,0.246955628,-5.552790642,1.578466654,2.078661919,6.135623543,0.3115896285,0.03555317223,-0.1560611278,0.3502958753,5.781886790301886
7,0.281840576,-1.494846463,0.5861512423,7.547226906,7.716137194,0.07403582335,0.1644500792,-0.1241032109,0.2189217637,5.8188679220188675
8,0.316786983,0.1630515456,-5.808076382,8.664368629,10.43223949,-0.0632500276,0.5010733604,-0.2338253707,0.5565513296,5.855849053735849
9,0.351634118,9.355958939,-8.555384636,6.612225533,14.29860484,-0.2507364154,0.5744433999,-0.2210422009,0.6646153958,5.89283018545283
10,0.386534483,14.26649284,-10.74912071,1.511851311,17.92657548,0.01651158556,0.2880206704,0.1420795321,0.3215822329,5.929811317169811
11,0.421424691,14.41736984,-14.69963455,2.001629829,20.68686373,-0.06218476593,0.1324921697,0.2219743133,0.2658828989,5.9667924488867925
12,0.456299222,12.46095943,-9.203985214,3.505405426,15.88322137,-0.01331579592,0.1186437383,-0.05286370963,0.1305688281,6.003773580603773
13,0.491216722,12.41178322,-11.57636738,10.14531517,19.77351927,-0.2177132517,0.4243744016,0.06538055837,0.4814221745,6.040754712320754
14,0.526085681,11.63077164,-14.38551426,6.472239494,19.59866713,0.2178464085,0.3093259335,0.3498059511,0.5152706029,6.077735844037735
15,0.560964378,17.0545311,-9.515106201,7.397898674,20.88356248,-0.2230395675,0.3210438192,0.2869553864,0.4849321357,6.114716975754717
16,0.595880889,1.627006412,-7.683893681,7.507249832,10.86499756,0.01651158556,0.1335574239,-0.1752358675,0.2209475666,6.151698107471698
17,0.630757608,10.05649662,-7.103014946,-0.1414299011,12.31283672,0.2530001104,0.1878858805,0.0675110817,0.3222854419,6.188679239188679
18,0.665650003,5.144435406,-2.969370842,-4.020348549,7.172557514,0.3605917394,0.2539322078,-0.2540653646,0.5089765989,6.22566037090566
19,0.700535628,-4.541121006,-6.312307358,2.336257935,8.119427647,0.2039979845,0.162319541,-0.3808317482,0.4615144977,6.262641502622641
20,0.735424378,1.678652525,3.982471943,7.490885735,8.648197856,0.08894951642,0.2209090441,0.06218476593,0.2461295744,6.299622634339622
21,0.770299431,-10.03569221,3.987186432,11.9966917,16.14104661,0.1816274524,-0.007989477366,-0.3467433155,0.3915140994,6.336603766056603
22,0.805214639,-7.782560825,1.197652698,-3.277316093,8.528975657,0.2114548385,0.02170474641,0.2326269448,0.3151182955,6.3735848977735845
23,0.840091358,3.511780739,4.7771492,-10.26296425,11.85251845,0.2274337858,-0.2604569495,0.2443448454,0.4234009364,6.410566029490566
24,0.874998545,-2.740138054,17.31518555,-4.285345078,18.04683323,0.2380864173,-0.4010717571,0.1229047924,0.482337314,6.447547161207547
25,0.909867868,-9.838207245,12.81789875,-3.010624409,16.43632287,0.2849580348,-0.179496929,-0.05499423668,0.3412397913,6.484528292924528
26,0.944762868,-13.87154007,3.724697828,-0.1646680832,14.36384744,-0.2017343044,0.01850895584,-0.4138549268,0.460776748,6.5215094246415095
27,0.979665993,2.621439695,5.243489265,-2.936799526,6.556745932,0.09001477808,0.1282311082,0.2422143221,0.2884677715,6.55849055635849
28,1.014543285,-1.442947865,-1.591517448,5.921182632,6.298843552,-0.1015995219,0.02809632942,0.04407528415,0.1142562789,6.595471688075471
29,1.049439222,7.129581451,-4.000577927,2.068845749,8.433011215,0.2370211631,0.1079910994,0.08242477477,0.2731939838,6.632452819792452
30,1.084346826,-3.885411501,5.435554981,-8.806688309,11.05438553,0.1496695429,0.08029424399,-0.2966759205,0.3418548515,6.669433951509434
31,1.119207295,-1.682096958,6.890009403,-1.429987907,7.235091234,0.1134505793,-0.01757685095,-0.1049284711,0.1555312306,6.706415083226415
32,1.154081201,-12.24507809,-0.2909644246,4.615526199,13.08929638,0.2679138184,0.0675110817,-0.06564687192,0.2839807599,6.743396214943396
33,1.188984795,2.739114523,-2.907013893,1.666644096,4.327953406,-0.3071953952,0.2315616906,0.2091911435,0.4378935509,6.7803773466603765
34,1.223879691,7.003414154,-3.315935135,-3.11991787,8.353270207,-0.01757685095,0.09307741374,0.06111950055,0.1127295169,6.817358478377358
35,1.258771983,-1.012785316,3.502489567,-3.534831047,5.078208128,-0.148471117,-0.3680485785,-0.1528653353,0.4252895948,6.854339610094339
36,1.29364141,3.692756176,0.7934436798,-4.531052589,5.898850618,0.08149266988,-0.4735096991,0.3125217259,0.5731686659,6.89132074181132
