,Time (s),Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Absolute acceleration,gyroscope x,gyroscope y,gyroscope z,Absolute gyroscope,Speed (m/s)
0,0.033389696,14.39044762,-14.24093056,10.92615032,23.00586548,-0.5159870982,0.3178480268,0.5563339591,0.8226648939,5.56
1,0.068320946,14.65178108,-12.40592194,11.26919937,22.26154627,-0.02183790505,0.0984037295,0.4435491562,0.4548582659,5.556666668777777
2,0.103180998,3.45182395,-3.473086357,8.811727524,10.08087096,-0.1516669095,0.2731069624,-0.249804318,0.3999905769,5.553333337555555
3,0.138038602,-3.934121609,-0.4129531384,13.0997858,13.68401371,-0.09307741374,0.2933469713,-0.2988064587,0.4289535526,5.550000006333333
4,0.172909331,-2.155898571,-1.675409794,13.36182976,13.6379394,0.185888499,0.2368880063,-0.5289034247,0.6086125979,5.546666675111111
5,0.207836102,-4.356007576,2.566099167,-4.70913744,6.90909852,-0.2539322078,0.3838943839,-0.4245075583,0.626149448,5.5433333438888885
6,0.242700581,2.021739721,0.2515053749,-10.00196266,10.20734753,0.09321057051,0.0813595131,-0.7364966273,0.7468164854,5.540000012666666
7,0.277597352,-1.204516649,4.833406448,-10.73387337,11.83337296,0.4170507193,0.1388837546,-0.2242379934,0.4934599045,5.536666681444444
8,0.312497925,2.838793278,8.383605957,-4.328140736,9.852735577,0.9719198942,-0.1059937328,-0.3627222776,1.042799311,5.533333350222222
9,0.347397873,-5.239023209,12.59540176,-12.08242607,18.22296709,0.5958818197,0.00159789552,-0.135821119,0.6111669761,5.530000019
10,0.382265425,-9.086442947,6.756576538,-15.04386616,18.82903824,0.3105243444,-0.249804318,-0.478836,0.6229859393,5.5266666877777775
11,0.417178133,-9.14491272,1.239187241,-9.4736166,13.22552173,0.1592569202,-0.1965411454,-0.4660528302,0.5302795763,5.523333356555555
12,0.452073289,-5.201608658,-2.971002102,4.070565224,7.24245037,0.1518000662,-0.500141263,-0.5171855092,0.7352995267,5.520000025333333
13,0.486926675,5.329592705,-8.235322952,8.510769844,12.98685127,0.1049284711,-0.6139913201,-0.620382905,0.8791304079,5.516666694111111
14,0.521810581,3.436430216,-4.970545292,-0.6885700226,6.081899523,-0.4073301852,-0.3744401634,-0.2647180259,0.6133505922,5.513333362888889
