,Time (s),Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Absolute acceleration,gyroscope x,gyroscope y,gyroscope z,Absolute gyroscope,Speed (m/s)
0,0.052066983,-6.844055653,4.701265335,-2.817144871,8.768084098,0.1560611278,0.04940159991,-0.08894951642,0.1862997857,5.56
1,0.086800368,0.1146173477,-4.506332874,5.500574112,7.11171489,-0.007989477366,-0.1837579757,0.1229047924,0.2212157621,5.474461538461538
2,0.121641878,3.958000183,-7.534235477,5.882240295,10.34558943,-0.155927971,-0.3360906839,-0.02197106183,0.3711511923,5.388923076923077
3,0.156550316,9.900845528,-5.867181778,2.566130638,11.7913354,-0.06005423889,0.01438105945,0.1932121962,0.2028405266,5.303384615384615
4,0.191467503,-6.50241518,0.6788400412,3.390351295,7.364557616,0.08894951642,0.009054740891,0.1399490088,0.1660714601,5.217846153846153
5,0.226351774,2.253585339,-1.512375474,-8.47454834,8.898533363,0.3637875319,-0.02077264152,-0.2082590461,0.4196959629,5.132307692307692
6,0.261244587,4.30532074,-2.482968569,-0.5364246368,4.998866969,0.1059937328,0.1932121962,0.02490053698,0.221778405,5.046769230769231
7,0.296136983,4.226735115,-0.3805244565,6.148082733,7.470542811,-0.4318312407,-0.2689790726,-0.05712476373,0.5119484354,4.9612307692307684
8,0.331034795,3.706777573,1.134637952,-2.655126095,4.698648511,-0.2368880063,-0.2380864173,0.2368880063,0.4109951304,4.875692307692307
9,0.365934014,-3.715301037,3.616978645,-6.543310165,8.34870674,-0.441418618,-0.04633896798,0.1591237634,0.47150617,4.790153846153846
10,0.400772399,3.455507755,-17.27097893,5.522480011,18.45873865,-0.2241048366,-0.3584612012,0.119709,0.4393718872,4.704615384615384
11,0.435699118,7.647197247,-4.682419777,2.326311111,9.263714378,-0.2443448454,-0.4713791609,-0.1624527127,0.5552419298,4.619076923076923
12,0.470598181,2.103970051,1.481333733,-11.40044689,11.68722503,-0.2209090441,-0.3925496638,0.09627319872,0.4606132576,4.533538461538461
13,0.505488858,10.62630558,1.664758921,1.814694405,10.90792869,-0.8567382693,0.1537974328,-0.1539305896,0.8839393299,4.4479999999999995
14,0.540359951,-4.275597095,-2.431447744,9.882183075,11.0385783,-0.04420844093,-0.1475390196,0.2454101145,0.2897382834,4.362461538461538
15,0.575260524,-7.47330761,-3.077295542,-3.191206932,8.689296644,0.06870950758,-0.5468797088,0.1633848101,0.5748852133,4.276923076923077
16,0.610144222,12.61138916,-8.616376877,2.168898582,15.42702849,0.09640636295,-0.2380864173,0.01531316526,0.2573204655,4.1913846153846155
17,0.645033233,9.085103989,-4.840286732,-5.693726063,11.76375818,0.05273054913,0.2123869359,-0.07510108501,0.2313631223,4.105846153846153
18,0.679926931,3.33776021,-4.694246769,-0.9024562836,5.830182098,-0.1079910994,0.4510059953,-0.08255793154,0.471045961,4.020307692307692
19,0.714818649,-1.765847445,0.3029179573,-1.584773064,2.391961987,-0.148471117,0.3114564717,-0.07297056168,0.3526662859,3.9347692307692306
20,0.749750785,-7.0064888,-3.012643099,1.929301262,7.866963017,0.143277958,-0.05912213027,-0.1049284711,0.1871736723,3.849230769230769
21,0.784852451,-6.715727806,-1.52161181,-14.28769112,15.8604672,0.3829622865,-0.1848232448,-0.0878842473,0.4342158284,3.7636923076923074
22,0.819498181,-4.151341438,-2.118637085,-7.864671707,9.141953834,0.3147853911,0.0898816213,-0.2263685167,0.3980091125,3.6781538461538457
23,0.854395264,-1.726129532,-5.723005295,-0.5798625946,6.005710066,-0.1974732429,0.1250353158,0.06218476593,0.241860408,3.5926153846153843
24,0.889265003,-1.801037431,-3.316706657,11.09606361,11.7203629,0.07084003091,0.1165132076,0.105860576,0.172627052,3.507076923076923
25,0.924152608,-9.274482727,2.218848705,-2.860381603,9.955958133,0.3350254297,-0.3115896285,-0.1027979404,0.468932353,3.421538461538461
26,0.959038649,11.79904747,-6.592999458,8.130271912,15.77296689,-0.5468797088,0.06857634336,0.2603237927,0.6095478716,3.336
27,0.99394042,7.027439117,-4.691706657,-2.14213419,8.716980601,0.05166528746,0.3508712053,-0.08681898564,0.3651266094,3.250461538461538
28,1.028863181,-7.117856026,4.891089439,-4.813441277,9.887155669,0.1272990108,0.3093259335,-0.5736444592,0.6640448305,3.1649230769230767
29,1.063738597,1.264381766,-11.32363319,4.31070137,12.18217863,-0.5372923613,0.0547279194,0.1495363861,0.5603921461,3.079384615384615
30,1.09861391,4.647723675,-7.687028885,9.866321564,13.34301501,-0.3434143662,0.2475406379,0.3583280444,0.5546249018,2.9938461538461536
